epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6818711161613464,1.0156230926513672,1e-04,0.7301749587059021,0.6409404277801514,0.8465644121170044,0.511469841003418,0.873578667640686,0.8201669454574585
1,0.7934539914131165,0.665803074836731,1e-04,0.8265032768249512,0.7643390893936157,0.8813082575798035,0.40383702516555786,0.9044852256774902,0.8611218929290771
2,0.8244614005088806,0.563277006149292,1e-04,0.8554435968399048,0.7991556525230408,0.8931483030319214,0.36948055028915405,0.9132854342460632,0.8759704828262329
3,0.8460549116134644,0.5057747960090637,1e-04,0.8709370493888855,0.8217439651489258,0.9020768404006958,0.33986926078796387,0.9216891527175903,0.8875194191932678
4,0.8603697419166565,0.46340230107307434,1e-04,0.885403037071228,0.8381211161613464,0.9135287404060364,0.31471189856529236,0.9304313063621521,0.8981948494911194
5,0.8700990080833435,0.43697038292884827,1e-04,0.8931570649147034,0.849014937877655,0.9159549474716187,0.3069315552711487,0.9321507215499878,0.9026591777801514
6,0.8773534297943115,0.4060729742050171,1e-04,0.9002213478088379,0.858525812625885,0.9233307242393494,0.28893089294433594,0.937774658203125,0.9111995100975037
7,0.8888781070709229,0.38396885991096497,1e-04,0.9083191752433777,0.8696865439414978,0.9261451959609985,0.281806081533432,0.9392006397247314,0.9144992232322693
8,0.8962781429290771,0.36265233159065247,1e-04,0.9147049784660339,0.8786635994911194,0.9296389818191528,0.2718738317489624,0.9419264793395996,0.9177018404006958
9,0.90234375,0.34461164474487305,1e-04,0.9197580814361572,0.8854813575744629,0.9331327676773071,0.26000651717185974,0.9444003105163574,0.9231366515159607
10,0.909937858581543,0.3275279700756073,1e-04,0.9258236885070801,0.895162045955658,0.9374029636383057,0.2462000846862793,0.9484637975692749,0.9287655353546143
11,0.9131890535354614,0.3105332851409912,1e-04,0.9288202524185181,0.8991411328315735,0.9413819909095764,0.23630237579345703,0.9512074589729309,0.932744562625885
12,0.918817937374115,0.2989288568496704,1e-04,0.9326910972595215,0.9067352414131165,0.9461374282836914,0.22896628081798553,0.9534057378768921,0.9373059272766113
13,0.9230638742446899,0.2889418601989746,1e-04,0.936709463596344,0.911005437374115,0.9466226696968079,0.2262830287218094,0.9528087377548218,0.9366265535354614
14,0.9262179732322693,0.2778787612915039,1e-04,0.9386481642723083,0.9161248207092285,0.9452639818191528,0.22392083704471588,0.9539311528205872,0.9384704828262329
15,0.9316770434379578,0.26609304547309875,1e-04,0.9428918957710266,0.9209530353546143,0.9514751434326172,0.21566061675548553,0.9583292007446289,0.9440993666648865
16,0.9352193474769592,0.2581486105918884,1e-04,0.9462549686431885,0.9256842136383057,0.9546778202056885,0.2058897614479065,0.9611746072769165,0.9466226696968079
17,0.9372088313102722,0.24774956703186035,1e-04,0.9467974305152893,0.9274553656578064,0.9539014101028442,0.2041739523410797,0.9609967470169067,0.9469138383865356
18,0.942037045955658,0.23551222681999207,1e-04,0.9519307017326355,0.93308424949646,0.957880437374115,0.19529132544994354,0.9647811055183411,0.951766312122345
19,0.9420127868652344,0.23305118083953857,1e-04,0.9518769383430481,0.9339091777801514,0.9546778202056885,0.20278368890285492,0.9607824087142944,0.9486607313156128
20,0.945094108581543,0.22540444135665894,1e-04,0.9538822174072266,0.9374272227287292,0.9581716060638428,0.19487226009368896,0.9633548855781555,0.9541925191879272
21,0.9477630257606506,0.21896739304065704,1e-04,0.9563285112380981,0.9398776888847351,0.961568295955658,0.18476693332195282,0.9659023880958557,0.9567158222198486
22,0.9483210444450378,0.21601957082748413,1e-04,0.956577479839325,0.9412364363670349,0.9601125717163086,0.19189272820949554,0.9649191498756409,0.9556483030319214
23,0.9521302580833435,0.20416805148124695,1e-04,0.9593499898910522,0.9453610181808472,0.9593361616134644,0.19341599941253662,0.9639666080474854,0.9528338313102722
24,0.95091712474823,0.20367266237735748,1e-04,0.9582052230834961,0.9450698494911194,0.957880437374115,0.19781126081943512,0.9625232815742493,0.9521545171737671
25,0.9572739005088806,0.19080251455307007,5e-05,0.9639214277267456,0.9515964388847351,0.9628299474716187,0.186112180352211,0.9662327766418457,0.9580745100975037
26,0.9565945267677307,0.18934400379657745,5e-05,0.9630258083343506,0.9504318833351135,0.9645768404006958,0.17814259231090546,0.968117356300354,0.9606948494911194
27,0.9597486257553101,0.1825244277715683,5e-05,0.9661574959754944,0.954483687877655,0.9656444191932678,0.17668865621089935,0.9689884781837463,0.961277186870575
28,0.9610830545425415,0.1788025051355362,5e-05,0.9672984480857849,0.9559394121170044,0.9632181525230408,0.17941389977931976,0.9675807952880859,0.9587538838386536
29,0.9625145792961121,0.1763107180595398,5e-05,0.9677917957305908,0.9572253227233887,0.9624417424201965,0.1825459599494934,0.9669737219810486,0.9575892686843872
